TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
935200,2024-09-04,ZTES,91,1510.745,9.3,AXALIAB,10000000,1035529.29,.RUT,269 ,-4.27,-88548.98,1030000.28,263.10,-1.13,-95580.10,0.000552901,5.82055E-07,-3.13629E-07,0.000703112
935202,2025-09-03,ZTES,117,1510.745,11,AXALIAB,10000000,1448676.802,.RUT,319 ,28.18,-106093.45,1472138.15,322.63,12.83,-85129.49,-0.002346135,-3.90764E-07,1.53455E-06,-0.002096396
938867,2024-09-18,ZTES,92,1561.474,9.5,AXALIAB,10000000,505975.7215,.RUT,248 ,-6.20,-86836.62,512064.69,234.27,-0.28,-84123.38,-0.000608897,1.38872E-06,-5.92663E-07,-0.000271324
938869,2025-09-17,ZTES,118,1561.474,11,AXALIAB,10000000,910930.0206,.RUT,242 ,-9.97,-95195.42,902466.55,244.18,-1.19,-63912.26,0.000846347,-1.68916E-07,-8.77946E-07,-0.003128316
943079,2024-10-02,ZTES,93,1486.347,10,AXALIAB,10000000,771002.3415,.RUT,247 ,-0.54,-87928.48,751692.43,234.75,-0.69,-90150.75,0.001930992,1.2238E-06,1.53213E-08,0.000222227
943084,2025-10-01,ZTES,119,1486.347,11,AXALIAB,10000000,1085924.676,.RUT,246 ,-38.91,-94414.53,1093338.63,238.37,-9.53,-105107.37,-0.000741396,7.99469E-07,-2.9383E-06,0.001069284
947003,2025-10-15,ZTES,120,1541.844,11,AXALIAB,10000000,1473387.303,.RUT,393 ,-1.77,-105941.45,1483801.77,355.90,0.41,-103570.53,-0.001041446,3.67091E-06,-2.18762E-07,-0.000237092
947005,2024-10-16,ZTES,94,1541.844,9.5,AXALIAB,10000000,1018082.849,.RUT,351 ,-1.96,-86740.94,1032592.29,341.26,-0.90,-94211.59,-0.001450944,1.01399E-06,-1.06137E-07,0.000747065
953272,2025-11-05,ZTES,121,1593.99,11,AXALIAB,10000000,1032548.536,.RUT,378 ,2.64,-107991.62,1036579.69,396.84,0.63,-100073.13,-0.000403115,-1.85061E-06,2.00483E-07,-0.00079185
953274,2024-11-06,ZTES,95,1593.99,9.2,AXALIAB,10000000,555969.5257,.RUT,345 ,0.08,-89246.08,605336.30,326.08,1.68,-92153.31,-0.004936677,1.89803E-06,-1.59718E-07,0.000290723
956412,2024-11-20,ZTES,96,1583.962,9.2,AXALIAB,10000000,1292187.314,.RUT,540 ,-0.52,-102091.96,1314295.29,511.15,-0.72,-104666.31,-0.002210798,2.87203E-06,1.9618E-08,0.000257434
956414,2025-11-19,ZTES,122,1583.962,11,AXALIAB,10000000,1954189.85,.RUT,558 ,-31.55,-112305.48,1977193.35,641.28,-1.61,-112991.74,-0.00230035,-8.35903E-06,-2.99381E-06,6.86262E-05
961157,2025-12-03,ZTES,123,1614.833,10,AXALIAB,10000000,1594748.721,.RUT,720 ,12.56,-123614.44,1599025.02,538.96,-57.59,-112196.44,-0.00042763,1.80994E-05,7.01431E-06,-0.0011418
961158,2024-12-04,ZTES,97,1614.833,9.5,AXALIAB,10000000,1347959.656,.RUT,677 ,1.44,-114204.72,1325796.28,643.38,-8.21,-84973.26,0.002216338,3.3706E-06,9.65031E-07,-0.002923145
965151,2024-12-18,ZTES,98,1667.094,9.5,AXALIAB,10000000,1195265.443,.RUT,892 ,0.83,-113775.32,1227239.46,844.90,-3.25,-107548.22,-0.003197402,4.75817E-06,4.08199E-07,-0.00062271
965154,2025-12-17,ZTES,124,1667.094,10,AXALIAB,10000000,1453356.944,.RUT,907 ,-39.20,-112043.66,1480923.21,894.45,3.11,-99562.32,-0.002756627,1.27756E-06,-4.23096E-06,-0.001248134
967373,2024-12-31,ZTES,99,1666.772,9.4,AXALIAB,10000000,1058609.245,.RUT,"1,037 ",-4.00,-103773.25,1085294.67,890.51,-79.72,-107380.36,-0.002668543,1.46364E-05,7.57192E-06,0.000360711
967376,2026-01-07,ZTES,126,1666.772,10,AXALIAB,10000000,1386251.55,.RUT,"1,271 ",59.33,-148460.12,1356827.36,1057.48,-9.99,-145004.93,0.002942419,2.13585E-05,6.93189E-06,-0.00034552
970467,2025-01-15,ZTES,100,1705.215,8.7,AXALIAB,10000000,747474.374,.RUT,"1,248 ",-3.91,-108714.01,761356.83,1221.21,-3.18,-102582.39,-0.001388246,2.62879E-06,-7.24702E-08,-0.000613162
